snapshot_id,product_id,run_date,price,cost_per_serving,cost_per_unit,availability,normalization_quality,extraction_method,scraper_version
LE-D3-529674_20260424,LE-D3-529674,2026-04-24,10.5,,,in_stock,partial,json_ld,1.0.0
LE-D3-529674_20260425,LE-D3-529674,2026-04-25,10.5,,,in_stock,partial,json_ld,1.0.0
LE-D3-529674_20260426,LE-D3-529674,2026-04-26,10.5,,,in_stock,partial,json_ld,1.0.0
LE-D3-529674_20260427,LE-D3-529674,2026-04-27,10.5,,,in_stock,partial,json_ld,1.0.0
LE-D3-529674_20260428,LE-D3-529674,2026-04-28,9.75,,,in_stock,partial,json_ld,1.0.0
LE-D3-529674_20260429,LE-D3-529674,2026-04-29,9.75,,,in_stock,partial,json_ld,1.0.0
LE-D3-529674_20260430,LE-D3-529674,2026-04-30,9.75,,,in_stock,partial,json_ld,1.0.0
LE-D3-534582_20260424,LE-D3-534582,2026-04-24,9.75,,,in_stock,partial,json_ld,1.0.0
LE-D3-534582_20260425,LE-D3-534582,2026-04-25,9.75,,,in_stock,partial,json_ld,1.0.0
LE-D3-534582_20260426,LE-D3-534582,2026-04-26,9.75,,,in_stock,partial,json_ld,1.0.0
LE-D3-534582_20260427,LE-D3-534582,2026-04-27,9.75,,,in_stock,partial,json_ld,1.0.0
LE-D3-534582_20260428,LE-D3-534582,2026-04-28,10.5,,,in_stock,partial,json_ld,1.0.0
LE-D3-534582_20260429,LE-D3-534582,2026-04-29,10.5,,,in_stock,partial,json_ld,1.0.0
LE-D3-534582_20260430,LE-D3-534582,2026-04-30,10.5,,,in_stock,partial,json_ld,1.0.0
THRN-D3-654892_20260424,THRN-D3-654892,2026-04-24,24.0,,,out_of_stock,partial,json_ld,1.0.0
THRN-D3-654892_20260425,THRN-D3-654892,2026-04-25,24.0,,,out_of_stock,partial,json_ld,1.0.0
THRN-D3-654892_20260426,THRN-D3-654892,2026-04-26,24.0,,,out_of_stock,partial,json_ld,1.0.0
THRN-D3-654892_20260427,THRN-D3-654892,2026-04-27,24.0,,,in_stock,partial,json_ld,1.0.0
THRN-D3-654892_20260428,THRN-D3-654892,2026-04-28,24.0,,,in_stock,partial,json_ld,1.0.0
THRN-D3-654892_20260429,THRN-D3-654892,2026-04-29,24.0,,,in_stock,partial,json_ld,1.0.0
THRN-D3-654892_20260430,THRN-D3-654892,2026-04-30,24.0,,,in_stock,partial,json_ld,1.0.0
